model,type,horsepower,color_options,price,Fuel Type,Drive Type,Transmission,Miles Per Gallon
Venza XLE Gen50,SUV,209,Gray|Black|White,39965,Hybrid,4WD,Automatic,42
Tacoma TRD Gen1,Truck,282,White|Gray|Black,34483,Gas,FWD,Manual,27
Camry XSE Gen2,Sedan,203,White|Black|Red,30113,Hybrid,RWD,Automatic,43
Supra GR Gen3,Coupe,376,Red|Blue|Black,45228,Gas,FWD,Manual,25
Venza XLE Gen4,SUV,222,Gray|Black|White,37623,Hybrid,4WD,Automatic,45
Supra GR Gen5,Coupe,392,Red|Blue|Black,46803,Gas,FWD,Manual,20
Mirai XLE Gen6,Sedan,184,Blue|White|Black,49872,Hydrogen,RWD,Automatic,28
Supra GR Gen7,Coupe,389,Red|Blue|Black,44215,Gas,FWD,Manual,20
Camry XSE Gen8,Sedan,215,White|Black|Red,31026,Hybrid,RWD,Automatic,47
RAV4 LE Gen9,SUV,203,Silver|Gray|White,28488,Hybrid,4WD,Automatic,36
Tacoma TRD Gen10,Truck,276,White|Gray|Black,37801,Gas,FWD,Manual,29
Venza XLE Gen11,SUV,221,Gray|Black|White,38075,Hybrid,4WD,Automatic,41
Tacoma TRD Gen12,Truck,282,White|Gray|Black,34626,Gas,FWD,Manual,31
Mirai XLE Gen13,Sedan,189,Blue|White|Black,49534,Hydrogen,RWD,Automatic,31
Supra GR Gen14,Coupe,381,Red|Blue|Black,46428,Gas,FWD,Manual,24
Tacoma TRD Gen15,Truck,275,White|Gray|Black,36395,Gas,FWD,Manual,28
Venza XLE Gen16,SUV,219,Gray|Black|White,40714,Hybrid,4WD,Automatic,41
Mirai XLE Gen17,Sedan,187,Blue|White|Black,49950,Hydrogen,RWD,Automatic,28
Venza XLE Gen18,SUV,220,Gray|Black|White,39542,Hybrid,4WD,Automatic,41
RAV4 LE Gen19,SUV,209,Silver|Gray|White,26828,Hybrid,4WD,Automatic,33
Venza XLE Gen20,SUV,221,Gray|Black|White,40248,Hybrid,4WD,Automatic,46
RAV4 LE Gen21,SUV,194,Silver|Gray|White,28272,Hybrid,4WD,Automatic,34
Camry XSE Gen22,Sedan,204,White|Black|Red,29020,Hybrid,RWD,Automatic,43
Venza XLE Gen23,SUV,211,Gray|Black|White,39013,Hybrid,4WD,Automatic,47
Mirai XLE Gen24,Sedan,185,Blue|White|Black,50228,Hydrogen,RWD,Automatic,32
Venza XLE Gen25,SUV,225,Gray|Black|White,37012,Hybrid,4WD,Automatic,43
Mirai XLE Gen26,Sedan,190,Blue|White|Black,48692,Hydrogen,RWD,Automatic,30
Supra GR Gen27,Coupe,389,Red|Blue|Black,47039,Gas,FWD,Manual,24
Venza XLE Gen28,SUV,217,Gray|Black|White,37630,Hybrid,4WD,Automatic,42
RAV4 LE Gen29,SUV,201,Silver|Gray|White,29151,Hybrid,4WD,Automatic,34
Mirai XLE Gen30,Sedan,173,Blue|White|Black,51909,Hydrogen,RWD,Automatic,28
Supra GR Gen31,Coupe,375,Red|Blue|Black,44582,Gas,FWD,Manual,23
Camry XSE Gen32,Sedan,199,White|Black|Red,32775,Hybrid,RWD,Automatic,43
Venza XLE Gen33,SUV,224,Gray|Black|White,37116,Hybrid,4WD,Automatic,45
Mirai XLE Gen34,Sedan,174,Blue|White|Black,48271,Hydrogen,RWD,Automatic,31
Camry XSE Gen35,Sedan,206,White|Black|Red,29074,Hybrid,RWD,Automatic,45
Supra GR Gen36,Coupe,374,Red|Blue|Black,46599,Gas,FWD,Manual,21
Tacoma TRD Gen37,Truck,285,White|Gray|Black,36520,Gas,FWD,Manual,28
Supra GR Gen38,Coupe,386,Red|Blue|Black,45228,Gas,FWD,Manual,23
Mirai XLE Gen39,Sedan,192,Blue|White|Black,49786,Hydrogen,RWD,Automatic,32
Venza XLE Gen40,SUV,214,Gray|Black|White,37048,Hybrid,4WD,Automatic,43
Mirai XLE Gen41,Sedan,185,Blue|White|Black,49316,Hydrogen,RWD,Automatic,30
Tacoma TRD Gen42,Truck,286,White|Gray|Black,37712,Gas,FWD,Manual,31
Venza XLE Gen43,SUV,217,Gray|Black|White,38273,Hybrid,4WD,Automatic,47
Supra GR Gen44,Coupe,375,Red|Blue|Black,47439,Gas,FWD,Manual,22
Mirai XLE Gen45,Sedan,178,Blue|White|Black,49338,Hydrogen,RWD,Automatic,28
RAV4 LE Gen46,SUV,194,Silver|Gray|White,27767,Hybrid,4WD,Automatic,32
Camry XSE Gen47,Sedan,210,White|Black|Red,31963,Hybrid,RWD,Automatic,46
Tacoma TRD Gen48,Truck,283,White|Gray|Black,35358,Gas,FWD,Manual,25
RAV4 LE Gen49,SUV,196,Silver|Gray|White,28381,Hybrid,4WD,Automatic,35
Tacoma TRD Gen50,Truck,271,White|Gray|Black,35795,Gas,FWD,Manual,29
Tacoma TRD Gen1,Truck,281,White|Gray|Black,34502,Gas,FWD,Manual,27
Camry XSE Gen2,Sedan,201,White|Black|Red,32171,Hybrid,RWD,Automatic,46
Tacoma TRD Gen3,Truck,278,White|Gray|Black,34189,Gas,FWD,Manual,29
Mirai XLE Gen4,Sedan,175,Blue|White|Black,51678,Hydrogen,RWD,Automatic,30
Mirai XLE Gen5,Sedan,172,Blue|White|Black,49639,Hydrogen,RWD,Automatic,33
Venza XLE Gen6,SUV,219,Gray|Black|White,40947,Hybrid,4WD,Automatic,43
Mirai XLE Gen7,Sedan,187,Blue|White|Black,49470,Hydrogen,RWD,Automatic,30
Supra GR Gen8,Coupe,377,Red|Blue|Black,47634,Gas,FWD,Manual,19
RAV4 LE Gen9,SUV,203,Silver|Gray|White,26370,Hybrid,4WD,Automatic,37
Mirai XLE Gen10,Sedan,182,Blue|White|Black,51560,Hydrogen,RWD,Automatic,30
Supra GR Gen11,Coupe,391,Red|Blue|Black,47731,Gas,FWD,Manual,23
Supra GR Gen12,Coupe,387,Red|Blue|Black,46623,Gas,FWD,Manual,21
Venza XLE Gen13,SUV,219,Gray|Black|White,39296,Hybrid,4WD,Automatic,44
RAV4 LE Gen14,SUV,202,Silver|Gray|White,29094,Hybrid,4WD,Automatic,37
RAV4 LE Gen15,SUV,203,Silver|Gray|White,27706,Hybrid,4WD,Automatic,33
RAV4 LE Gen16,SUV,207,Silver|Gray|White,28314,Hybrid,4WD,Automatic,35
RAV4 LE Gen17,SUV,212,Silver|Gray|White,28149,Hybrid,4WD,Automatic,33
Venza XLE Gen18,SUV,215,Gray|Black|White,37821,Hybrid,4WD,Automatic,46
Supra GR Gen19,Coupe,385,Red|Blue|Black,44634,Gas,FWD,Manual,19
Supra GR Gen20,Coupe,386,Red|Blue|Black,45464,Gas,FWD,Manual,24
Tacoma TRD Gen21,Truck,288,White|Gray|Black,34416,Gas,FWD,Manual,30
Mirai XLE Gen22,Sedan,185,Blue|White|Black,49259,Hydrogen,RWD,Automatic,33
Supra GR Gen23,Coupe,381,Red|Blue|Black,44210,Gas,FWD,Manual,24
Tacoma TRD Gen24,Truck,274,White|Gray|Black,37805,Gas,FWD,Manual,28
Supra GR Gen25,Coupe,384,Red|Blue|Black,46470,Gas,FWD,Manual,21
Mirai XLE Gen26,Sedan,177,Blue|White|Black,50845,Hydrogen,RWD,Automatic,31
RAV4 LE Gen27,SUV,213,Silver|Gray|White,27691,Hybrid,4WD,Automatic,37
Tacoma TRD Gen28,Truck,288,White|Gray|Black,34019,Gas,FWD,Manual,26
Camry XSE Gen29,Sedan,207,White|Black|Red,30933,Hybrid,RWD,Automatic,46
Tacoma TRD Gen30,Truck,283,White|Gray|Black,34147,Gas,FWD,Manual,28
Venza XLE Gen31,SUV,225,Gray|Black|White,38519,Hybrid,4WD,Automatic,42
Camry XSE Gen32,Sedan,200,White|Black|Red,31725,Hybrid,RWD,Automatic,41
RAV4 LE Gen33,SUV,207,Silver|Gray|White,28743,Hybrid,4WD,Automatic,37
Camry XSE Gen34,Sedan,209,White|Black|Red,31332,Hybrid,RWD,Automatic,45
Venza XLE Gen35,SUV,226,Gray|Black|White,39079,Hybrid,4WD,Automatic,43
RAV4 LE Gen36,SUV,205,Silver|Gray|White,26066,Hybrid,4WD,Automatic,37
Camry XSE Gen37,Sedan,208,White|Black|Red,30547,Hybrid,RWD,Automatic,41
Mirai XLE Gen38,Sedan,187,Blue|White|Black,50765,Hydrogen,RWD,Automatic,33
Camry XSE Gen39,Sedan,203,White|Black|Red,30790,Hybrid,RWD,Automatic,46
Camry XSE Gen40,Sedan,203,White|Black|Red,32973,Hybrid,RWD,Automatic,41
Venza XLE Gen41,SUV,225,Gray|Black|White,37823,Hybrid,4WD,Automatic,46
Mirai XLE Gen42,Sedan,177,Blue|White|Black,48936,Hydrogen,RWD,Automatic,31
RAV4 LE Gen43,SUV,212,Silver|Gray|White,27379,Hybrid,4WD,Automatic,38
Tacoma TRD Gen44,Truck,270,White|Gray|Black,35817,Gas,FWD,Manual,25
Supra GR Gen45,Coupe,378,Red|Blue|Black,45519,Gas,FWD,Manual,20
Supra GR Gen46,Coupe,391,Red|Blue|Black,47440,Gas,FWD,Manual,22
Tacoma TRD Gen47,Truck,288,White|Gray|Black,36082,Gas,FWD,Manual,31
Camry XSE Gen48,Sedan,215,White|Black|Red,31063,Hybrid,RWD,Automatic,43
Mirai XLE Gen49,Sedan,190,Blue|White|Black,48696,Hydrogen,RWD,Automatic,33
Venza XLE Gen50,SUV,217,Gray|Black|White,37765,Hybrid,4WD,Automatic,47
Supra GR Gen1,Coupe,377,Red|Blue|Black,44761,Gas,FWD,Manual,25
Venza XLE Gen2,SUV,227,Gray|Black|White,37132,Hybrid,4WD,Automatic,42
Venza XLE Gen3,SUV,217,Gray|Black|White,40284,Hybrid,4WD,Automatic,43
Venza XLE Gen4,SUV,217,Gray|Black|White,40636,Hybrid,4WD,Automatic,46
Venza XLE Gen5,SUV,217,Gray|Black|White,38896,Hybrid,4WD,Automatic,41
Mirai XLE Gen6,Sedan,187,Blue|White|Black,49850,Hydrogen,RWD,Automatic,30
Supra GR Gen7,Coupe,390,Red|Blue|Black,45466,Gas,FWD,Manual,21
Supra GR Gen8,Coupe,378,Red|Blue|Black,47381,Gas,FWD,Manual,22
Venza XLE Gen9,SUV,219,Gray|Black|White,37866,Hybrid,4WD,Automatic,44
Mirai XLE Gen10,Sedan,182,Blue|White|Black,51113,Hydrogen,RWD,Automatic,32
Supra GR Gen11,Coupe,373,Red|Blue|Black,44547,Gas,FWD,Manual,22
Tacoma TRD Gen12,Truck,283,White|Gray|Black,36687,Gas,FWD,Manual,29
Mirai XLE Gen13,Sedan,185,Blue|White|Black,49766,Hydrogen,RWD,Automatic,32
Supra GR Gen14,Coupe,388,Red|Blue|Black,45804,Gas,FWD,Manual,24
Supra GR Gen15,Coupe,385,Red|Blue|Black,44492,Gas,FWD,Manual,19
Venza XLE Gen16,SUV,227,Gray|Black|White,38727,Hybrid,4WD,Automatic,43
Supra GR Gen17,Coupe,390,Red|Blue|Black,46979,Gas,FWD,Manual,20
Camry XSE Gen18,Sedan,204,White|Black|Red,32918,Hybrid,RWD,Automatic,41
RAV4 LE Gen19,SUV,198,Silver|Gray|White,29320,Hybrid,4WD,Automatic,35
Supra GR Gen20,Coupe,375,Red|Blue|Black,47843,Gas,FWD,Manual,22
Venza XLE Gen21,SUV,229,Gray|Black|White,38538,Hybrid,4WD,Automatic,45
Mirai XLE Gen22,Sedan,174,Blue|White|Black,51633,Hydrogen,RWD,Automatic,29
Mirai XLE Gen23,Sedan,185,Blue|White|Black,49225,Hydrogen,RWD,Automatic,29
Venza XLE Gen24,SUV,212,Gray|Black|White,38344,Hybrid,4WD,Automatic,44
Supra GR Gen25,Coupe,375,Red|Blue|Black,45082,Gas,FWD,Manual,25
Supra GR Gen26,Coupe,389,Red|Blue|Black,45852,Gas,FWD,Manual,25
Camry XSE Gen27,Sedan,215,White|Black|Red,29607,Hybrid,RWD,Automatic,46
RAV4 LE Gen28,SUV,198,Silver|Gray|White,27893,Hybrid,4WD,Automatic,38
RAV4 LE Gen29,SUV,213,Silver|Gray|White,26105,Hybrid,4WD,Automatic,36
Camry XSE Gen30,Sedan,209,White|Black|Red,30884,Hybrid,RWD,Automatic,46
Mirai XLE Gen31,Sedan,174,Blue|White|Black,49220,Hydrogen,RWD,Automatic,32
Mirai XLE Gen32,Sedan,188,Blue|White|Black,51261,Hydrogen,RWD,Automatic,28
Venza XLE Gen33,SUV,228,Gray|Black|White,40007,Hybrid,4WD,Automatic,44
Camry XSE Gen34,Sedan,204,White|Black|Red,32571,Hybrid,RWD,Automatic,46
RAV4 LE Gen35,SUV,211,Silver|Gray|White,26985,Hybrid,4WD,Automatic,33
Camry XSE Gen36,Sedan,206,White|Black|Red,31866,Hybrid,RWD,Automatic,44
RAV4 LE Gen37,SUV,195,Silver|Gray|White,26773,Hybrid,4WD,Automatic,37
Venza XLE Gen38,SUV,210,Gray|Black|White,38129,Hybrid,4WD,Automatic,42
Camry XSE Gen39,Sedan,209,White|Black|Red,32900,Hybrid,RWD,Automatic,46
Mirai XLE Gen40,Sedan,182,Blue|White|Black,50914,Hydrogen,RWD,Automatic,28
Venza XLE Gen41,SUV,227,Gray|Black|White,39644,Hybrid,4WD,Automatic,47
Venza XLE Gen42,SUV,210,Gray|Black|White,38408,Hybrid,4WD,Automatic,42
RAV4 LE Gen43,SUV,206,Silver|Gray|White,26055,Hybrid,4WD,Automatic,35
Supra GR Gen44,Coupe,374,Red|Blue|Black,48000,Gas,FWD,Manual,24
Tacoma TRD Gen45,Truck,280,White|Gray|Black,37797,Gas,FWD,Manual,30
Camry XSE Gen46,Sedan,211,White|Black|Red,30465,Hybrid,RWD,Automatic,41
Venza XLE Gen47,SUV,221,Gray|Black|White,38352,Hybrid,4WD,Automatic,45
Mirai XLE Gen48,Sedan,188,Blue|White|Black,51472,Hydrogen,RWD,Automatic,33
Tacoma TRD Gen49,Truck,273,White|Gray|Black,36277,Gas,FWD,Manual,26
Mirai XLE Gen50,Sedan,190,Blue|White|Black,51676,Hydrogen,RWD,Automatic,27
Venza XLE Gen1,SUV,226,Gray|Black|White,39007,Hybrid,4WD,Automatic,41
Mirai XLE Gen2,Sedan,174,Blue|White|Black,49014,Hydrogen,RWD,Automatic,32
Supra GR Gen3,Coupe,389,Red|Blue|Black,47268,Gas,FWD,Manual,24
Venza XLE Gen4,SUV,210,Gray|Black|White,40686,Hybrid,4WD,Automatic,42
Camry XSE Gen5,Sedan,200,White|Black|Red,30595,Hybrid,RWD,Automatic,42
Mirai XLE Gen6,Sedan,183,Blue|White|Black,50040,Hydrogen,RWD,Automatic,30
Mirai XLE Gen7,Sedan,183,Blue|White|Black,48783,Hydrogen,RWD,Automatic,27
Tacoma TRD Gen8,Truck,273,White|Gray|Black,36527,Gas,FWD,Manual,28
Tacoma TRD Gen9,Truck,276,White|Gray|Black,37818,Gas,FWD,Manual,31
RAV4 LE Gen10,SUV,206,Silver|Gray|White,26415,Hybrid,4WD,Automatic,32
Venza XLE Gen11,SUV,219,Gray|Black|White,40555,Hybrid,4WD,Automatic,46
Supra GR Gen12,Coupe,372,Red|Blue|Black,47974,Gas,FWD,Manual,23
Camry XSE Gen13,Sedan,212,White|Black|Red,32542,Hybrid,RWD,Automatic,42
Venza XLE Gen14,SUV,223,Gray|Black|White,39593,Hybrid,4WD,Automatic,46
Mirai XLE Gen15,Sedan,188,Blue|White|Black,50197,Hydrogen,RWD,Automatic,32
Venza XLE Gen16,SUV,222,Gray|Black|White,40868,Hybrid,4WD,Automatic,45
Supra GR Gen17,Coupe,379,Red|Blue|Black,46355,Gas,FWD,Manual,23
Venza XLE Gen18,SUV,222,Gray|Black|White,38246,Hybrid,4WD,Automatic,45
Supra GR Gen19,Coupe,387,Red|Blue|Black,45590,Gas,FWD,Manual,19
Venza XLE Gen20,SUV,225,Gray|Black|White,37260,Hybrid,4WD,Automatic,44
Camry XSE Gen21,Sedan,206,White|Black|Red,31957,Hybrid,RWD,Automatic,44
RAV4 LE Gen22,SUV,197,Silver|Gray|White,28751,Hybrid,4WD,Automatic,38
Venza XLE Gen23,SUV,222,Gray|Black|White,38361,Hybrid,4WD,Automatic,44
Camry XSE Gen24,Sedan,210,White|Black|Red,32825,Hybrid,RWD,Automatic,41
Venza XLE Gen25,SUV,212,Gray|Black|White,38227,Hybrid,4WD,Automatic,47
Venza XLE Gen26,SUV,227,Gray|Black|White,38828,Hybrid,4WD,Automatic,47
RAV4 LE Gen27,SUV,200,Silver|Gray|White,29389,Hybrid,4WD,Automatic,35
Mirai XLE Gen28,Sedan,179,Blue|White|Black,50466,Hydrogen,RWD,Automatic,33
Camry XSE Gen29,Sedan,202,White|Black|Red,30686,Hybrid,RWD,Automatic,44
RAV4 LE Gen30,SUV,193,Silver|Gray|White,29309,Hybrid,4WD,Automatic,36
Camry XSE Gen31,Sedan,196,White|Black|Red,30172,Hybrid,RWD,Automatic,42
Venza XLE Gen32,SUV,213,Gray|Black|White,38529,Hybrid,4WD,Automatic,41
Camry XSE Gen33,Sedan,214,White|Black|Red,32277,Hybrid,RWD,Automatic,46
Supra GR Gen34,Coupe,389,Red|Blue|Black,46662,Gas,FWD,Manual,19
Camry XSE Gen35,Sedan,215,White|Black|Red,31525,Hybrid,RWD,Automatic,47
RAV4 LE Gen36,SUV,202,Silver|Gray|White,26554,Hybrid,4WD,Automatic,37
Venza XLE Gen37,SUV,226,Gray|Black|White,38186,Hybrid,4WD,Automatic,42
RAV4 LE Gen38,SUV,195,Silver|Gray|White,29194,Hybrid,4WD,Automatic,38
Venza XLE Gen39,SUV,219,Gray|Black|White,37361,Hybrid,4WD,Automatic,44
Supra GR Gen40,Coupe,392,Red|Blue|Black,46102,Gas,FWD,Manual,21
Supra GR Gen41,Coupe,379,Red|Blue|Black,46600,Gas,FWD,Manual,19
RAV4 LE Gen42,SUV,199,Silver|Gray|White,29976,Hybrid,4WD,Automatic,32
RAV4 LE Gen43,SUV,198,Silver|Gray|White,27367,Hybrid,4WD,Automatic,32
Venza XLE Gen44,SUV,221,Gray|Black|White,40052,Hybrid,4WD,Automatic,44
Tacoma TRD Gen45,Truck,271,White|Gray|Black,36933,Gas,FWD,Manual,31
Supra GR Gen46,Coupe,388,Red|Blue|Black,45026,Gas,FWD,Manual,22
Camry XSE Gen47,Sedan,212,White|Black|Red,32058,Hybrid,RWD,Automatic,44
Venza XLE Gen48,SUV,209,Gray|Black|White,38673,Hybrid,4WD,Automatic,42
Venza XLE Gen49,SUV,219,Gray|Black|White,40159,Hybrid,4WD,Automatic,46
Mirai XLE Gen50,Sedan,175,Blue|White|Black,49039,Hydrogen,RWD,Automatic,30
RAV4 LE Gen1,SUV,211,Silver|Gray|White,28538,Hybrid,4WD,Automatic,37
RAV4 LE Gen2,SUV,196,Silver|Gray|White,27652,Hybrid,4WD,Automatic,38
Tacoma TRD Gen3,Truck,276,White|Gray|Black,37898,Gas,FWD,Manual,29
RAV4 LE Gen4,SUV,206,Silver|Gray|White,27227,Hybrid,4WD,Automatic,38
Tacoma TRD Gen5,Truck,268,White|Gray|Black,34015,Gas,FWD,Manual,26
Venza XLE Gen6,SUV,211,Gray|Black|White,39117,Hybrid,4WD,Automatic,43
Supra GR Gen7,Coupe,373,Red|Blue|Black,45284,Gas,FWD,Manual,24
Camry XSE Gen8,Sedan,207,White|Black|Red,32633,Hybrid,RWD,Automatic,43
Tacoma TRD Gen9,Truck,285,White|Gray|Black,36376,Gas,FWD,Manual,25
Mirai XLE Gen10,Sedan,185,Blue|White|Black,48558,Hydrogen,RWD,Automatic,30
RAV4 LE Gen11,SUV,193,Silver|Gray|White,27682,Hybrid,4WD,Automatic,34
Venza XLE Gen12,SUV,229,Gray|Black|White,40788,Hybrid,4WD,Automatic,46
Supra GR Gen13,Coupe,372,Red|Blue|Black,46877,Gas,FWD,Manual,21
RAV4 LE Gen14,SUV,204,Silver|Gray|White,29172,Hybrid,4WD,Automatic,37
RAV4 LE Gen15,SUV,203,Silver|Gray|White,27324,Hybrid,4WD,Automatic,35
Mirai XLE Gen16,Sedan,184,Blue|White|Black,49343,Hydrogen,RWD,Automatic,29
Supra GR Gen17,Coupe,387,Red|Blue|Black,47804,Gas,FWD,Manual,20
Supra GR Gen18,Coupe,379,Red|Blue|Black,45353,Gas,FWD,Manual,23
Venza XLE Gen19,SUV,219,Gray|Black|White,37240,Hybrid,4WD,Automatic,45
Venza XLE Gen20,SUV,221,Gray|Black|White,38893,Hybrid,4WD,Automatic,47
RAV4 LE Gen21,SUV,199,Silver|Gray|White,26845,Hybrid,4WD,Automatic,34
Venza XLE Gen22,SUV,215,Gray|Black|White,39929,Hybrid,4WD,Automatic,41
Supra GR Gen23,Coupe,387,Red|Blue|Black,45574,Gas,FWD,Manual,22
Supra GR Gen24,Coupe,373,Red|Blue|Black,46620,Gas,FWD,Manual,21
Camry XSE Gen25,Sedan,196,White|Black|Red,30934,Hybrid,RWD,Automatic,41
Venza XLE Gen26,SUV,228,Gray|Black|White,40187,Hybrid,4WD,Automatic,46
Mirai XLE Gen27,Sedan,179,Blue|White|Black,51645,Hydrogen,RWD,Automatic,33
RAV4 LE Gen28,SUV,207,Silver|Gray|White,28755,Hybrid,4WD,Automatic,34
Camry XSE Gen29,Sedan,197,White|Black|Red,29065,Hybrid,RWD,Automatic,47
Venza XLE Gen30,SUV,211,Gray|Black|White,38643,Hybrid,4WD,Automatic,45
RAV4 LE Gen31,SUV,199,Silver|Gray|White,28757,Hybrid,4WD,Automatic,38
Supra GR Gen32,Coupe,388,Red|Blue|Black,47317,Gas,FWD,Manual,20
Mirai XLE Gen33,Sedan,186,Blue|White|Black,51940,Hydrogen,RWD,Automatic,32
Venza XLE Gen34,SUV,222,Gray|Black|White,37479,Hybrid,4WD,Automatic,47
Venza XLE Gen35,SUV,221,Gray|Black|White,38303,Hybrid,4WD,Automatic,47
Venza XLE Gen36,SUV,218,Gray|Black|White,40444,Hybrid,4WD,Automatic,44
Venza XLE Gen37,SUV,211,Gray|Black|White,40123,Hybrid,4WD,Automatic,42
Mirai XLE Gen38,Sedan,181,Blue|White|Black,50530,Hydrogen,RWD,Automatic,29
Mirai XLE Gen39,Sedan,192,Blue|White|Black,50232,Hydrogen,RWD,Automatic,32
Mirai XLE Gen40,Sedan,176,Blue|White|Black,51509,Hydrogen,RWD,Automatic,30
Supra GR Gen41,Coupe,376,Red|Blue|Black,47300,Gas,FWD,Manual,25
Camry XSE Gen42,Sedan,200,White|Black|Red,32915,Hybrid,RWD,Automatic,41
Mirai XLE Gen43,Sedan,189,Blue|White|Black,49886,Hydrogen,RWD,Automatic,32
Tacoma TRD Gen44,Truck,280,White|Gray|Black,36903,Gas,FWD,Manual,26
Camry XSE Gen45,Sedan,215,White|Black|Red,30295,Hybrid,RWD,Automatic,46
RAV4 LE Gen46,SUV,204,Silver|Gray|White,28923,Hybrid,4WD,Automatic,34
Camry XSE Gen47,Sedan,195,White|Black|Red,30186,Hybrid,RWD,Automatic,46
RAV4 LE Gen48,SUV,201,Silver|Gray|White,29597,Hybrid,4WD,Automatic,35
Supra GR Gen49,Coupe,383,Red|Blue|Black,47135,Gas,FWD,Manual,25
Venza XLE Gen50,SUV,217,Gray|Black|White,37991,Hybrid,4WD,Automatic,46
Camry XSE Gen1,Sedan,206,White|Black|Red,29823,Hybrid,RWD,Automatic,45
Supra GR Gen2,Coupe,375,Red|Blue|Black,45356,Gas,FWD,Manual,23
Supra GR Gen3,Coupe,380,Red|Blue|Black,47875,Gas,FWD,Manual,24
Supra GR Gen4,Coupe,385,Red|Blue|Black,45933,Gas,FWD,Manual,21
Camry XSE Gen5,Sedan,198,White|Black|Red,30593,Hybrid,RWD,Automatic,43
Mirai XLE Gen6,Sedan,178,Blue|White|Black,50636,Hydrogen,RWD,Automatic,29
Supra GR Gen7,Coupe,376,Red|Blue|Black,45659,Gas,FWD,Manual,24
Camry XSE Gen8,Sedan,213,White|Black|Red,31284,Hybrid,RWD,Automatic,44
Supra GR Gen9,Coupe,384,Red|Blue|Black,46187,Gas,FWD,Manual,22
Mirai XLE Gen10,Sedan,176,Blue|White|Black,50606,Hydrogen,RWD,Automatic,27
RAV4 LE Gen11,SUV,208,Silver|Gray|White,27824,Hybrid,4WD,Automatic,36
RAV4 LE Gen12,SUV,208,Silver|Gray|White,26133,Hybrid,4WD,Automatic,35
Mirai XLE Gen13,Sedan,177,Blue|White|Black,48218,Hydrogen,RWD,Automatic,27
Venza XLE Gen14,SUV,223,Gray|Black|White,37650,Hybrid,4WD,Automatic,43
Supra GR Gen15,Coupe,392,Red|Blue|Black,46288,Gas,FWD,Manual,25
Tacoma TRD Gen16,Truck,286,White|Gray|Black,35654,Gas,FWD,Manual,26
Mirai XLE Gen17,Sedan,188,Blue|White|Black,49394,Hydrogen,RWD,Automatic,28
RAV4 LE Gen18,SUV,213,Silver|Gray|White,28259,Hybrid,4WD,Automatic,32
Venza XLE Gen19,SUV,217,Gray|Black|White,40979,Hybrid,4WD,Automatic,47
RAV4 LE Gen20,SUV,212,Silver|Gray|White,28976,Hybrid,4WD,Automatic,35
Tacoma TRD Gen21,Truck,286,White|Gray|Black,36610,Gas,FWD,Manual,25
Tacoma TRD Gen22,Truck,268,White|Gray|Black,34415,Gas,FWD,Manual,29
Venza XLE Gen23,SUV,209,Gray|Black|White,38367,Hybrid,4WD,Automatic,42
Supra GR Gen24,Coupe,391,Red|Blue|Black,47618,Gas,FWD,Manual,24
Venza XLE Gen25,SUV,228,Gray|Black|White,40254,Hybrid,4WD,Automatic,46
RAV4 LE Gen26,SUV,205,Silver|Gray|White,27721,Hybrid,4WD,Automatic,34
Tacoma TRD Gen27,Truck,283,White|Gray|Black,37985,Gas,FWD,Manual,25
Camry XSE Gen28,Sedan,204,White|Black|Red,30938,Hybrid,RWD,Automatic,47
Venza XLE Gen29,SUV,215,Gray|Black|White,38250,Hybrid,4WD,Automatic,42
Camry XSE Gen30,Sedan,202,White|Black|Red,29410,Hybrid,RWD,Automatic,42
Venza XLE Gen31,SUV,228,Gray|Black|White,39632,Hybrid,4WD,Automatic,44
RAV4 LE Gen32,SUV,202,Silver|Gray|White,29272,Hybrid,4WD,Automatic,36
Mirai XLE Gen33,Sedan,181,Blue|White|Black,51116,Hydrogen,RWD,Automatic,31
Camry XSE Gen34,Sedan,210,White|Black|Red,32571,Hybrid,RWD,Automatic,46
Mirai XLE Gen35,Sedan,172,Blue|White|Black,50979,Hydrogen,RWD,Automatic,30
Camry XSE Gen36,Sedan,205,White|Black|Red,30627,Hybrid,RWD,Automatic,42
Camry XSE Gen37,Sedan,202,White|Black|Red,29008,Hybrid,RWD,Automatic,43
Venza XLE Gen38,SUV,228,Gray|Black|White,39615,Hybrid,4WD,Automatic,44
RAV4 LE Gen39,SUV,200,Silver|Gray|White,28890,Hybrid,4WD,Automatic,34
Supra GR Gen40,Coupe,384,Red|Blue|Black,46755,Gas,FWD,Manual,21
Camry XSE Gen41,Sedan,196,White|Black|Red,30187,Hybrid,RWD,Automatic,44
Venza XLE Gen42,SUV,221,Gray|Black|White,40244,Hybrid,4WD,Automatic,42
Supra GR Gen43,Coupe,376,Red|Blue|Black,47120,Gas,FWD,Manual,21
RAV4 LE Gen44,SUV,201,Silver|Gray|White,29897,Hybrid,4WD,Automatic,33
Tacoma TRD Gen45,Truck,287,White|Gray|Black,34731,Gas,FWD,Manual,26
Camry XSE Gen46,Sedan,210,White|Black|Red,31974,Hybrid,RWD,Automatic,42
RAV4 LE Gen47,SUV,212,Silver|Gray|White,26021,Hybrid,4WD,Automatic,35
Camry XSE Gen48,Sedan,200,White|Black|Red,29781,Hybrid,RWD,Automatic,45
Tacoma TRD Gen49,Truck,276,White|Gray|Black,37314,Gas,FWD,Manual,26
RAV4 LE Gen50,SUV,204,Silver|Gray|White,26024,Hybrid,4WD,Automatic,32
